trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.23476802707249,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.53325033343549,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.4688133095885,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.4806643020604,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.00929621008393,"{0: 13, 1: 4, 2: 10, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.35514185505002,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.99}",25,11,-29.776503734551984,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.99}",20,0,-46.85757567985438,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.99}",20,0,-76.85381358763823,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-79.15023099177814,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.99}",20,0,-73.59027427775729,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99}",30,0,-118.3334810220611,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.99}",25,0,-169.35665146023624,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9801}",20,0,-182.01216674434107,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9801}",30,0,-100.96924527412021,"{0: 16, 1: 6, 2: 7, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9801}",30,0,-128.02603784085167,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9801}",25,0,-76.70669606189884,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9801}",30,0,-106.94309822421113,"{0: 17, 1: 8, 2: 2, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9801}",30,0,-78.33156031792494,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9801}",25,0,-143.397363790152,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
