trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,16,-52.0049319749268,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.49861142016613,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.53211546190576,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.06160839639377,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.81903123919687,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.79240604642375,"{0: 7, 1: 7, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.72784841838785,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.86475180298301,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.86333945058959,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.35147169553628,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.07478801503794,"{0: 17, 1: 9, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.07756176846134,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.65169162626852,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.3996430247777,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.22936047568153,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.33545151547665,"{0: 15, 1: 6, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.5981141021659,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-120.85267930036397,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-316.0799359385584,"{0: 8, 1: 2, 2: 8, 3: 2, 4: 5}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.66399859974364,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.49042003921514,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-291.7857567380347,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 6}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.68887017632706,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.00238842047207,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-135.62840188233724,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-186.9659810910606,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-206.45864776669328,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.68507759637691,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.17697283798236,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.32219018661627,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
